Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 645374  Y 318110
X 665748  Y 318110
X 674803  Y 390551
X 677952  Y 390551
X 671653  Y 390551
X 665354  Y 390551
X 668503  Y 390551
X 677952  Y 393700
X 674803  Y 393700
X 668503  Y 393700
X 665354  Y 393700
X 662204  Y 393700
X 671653  Y 393700
X 671653  Y 396850
X 674803  Y 396850
X 668503  Y 396850
X 665354  Y 396850
X 662204  Y 396850
X 677952  Y 396850
X 677952  Y 400000
X 665354  Y 400000
X 668503  Y 400000
X 662204  Y 400000
X 674803  Y 400000
X 671653  Y 400000
X 671653  Y 403149
X 665354  Y 403149
X 662204  Y 403149
X 677952  Y 403149
X 668503  Y 403149
X 674803  Y 403149
X 662204  Y 406299
X 671653  Y 406299
X 665354  Y 406299
X 677952  Y 406299
X 668503  Y 406299
X 674803  Y 406299
X 677952  Y 412598
X 668503  Y 412598
X 665354  Y 412598
X 671653  Y 412598
X 674803  Y 412598
X 668503  Y 415748
X 665354  Y 415748
X 677952  Y 415748
X 674803  Y 415748
X 671653  Y 415748
X 677952  Y 418897
X 665354  Y 418897
X 674803  Y 418897
X 668503  Y 418897
X 671653  Y 418897
X 671653  Y 422047
X 668503  Y 422047
X 674803  Y 422047
X 665354  Y 422047
X 677952  Y 422047
X 668503  Y 425196
X 665354  Y 425196
X 671653  Y 425196
X 677952  Y 425196
X 662204  Y 425196
X 674803  Y 425196
X 606692  Y 425984
X 684251  Y 425196
X 693700  Y 425196
X 687401  Y 425196
X 696850  Y 425196
X 690551  Y 425196
X 687401  Y 422047
X 690551  Y 422047
X 696850  Y 422047
X 693700  Y 422047
X 684251  Y 422047
X 700000  Y 422047
X 684251  Y 418897
X 693700  Y 418897
X 696850  Y 418897
X 690551  Y 418897
X 687401  Y 418897
X 690551  Y 415748
X 693700  Y 415748
X 687401  Y 415748
X 684251  Y 415748
X 696850  Y 415748
X 699990  Y 415738
X 684251  Y 412598
X 696850  Y 412598
X 690551  Y 412598
X 687401  Y 412598
X 693700  Y 412598
X 700000  Y 412598
X 690551  Y 406299
X 696850  Y 406299
X 684251  Y 406299
X 687401  Y 406299
X 693700  Y 406299
X 700000  Y 406299
X 684251  Y 403149
X 687401  Y 403149
X 693700  Y 403149
X 690551  Y 403149
X 696850  Y 403149
X 700000  Y 403149
X 696850  Y 400000
X 690551  Y 400000
X 693700  Y 400000
X 687401  Y 400000
X 684251  Y 400000
X 700000  Y 400000
X 690551  Y 396850
X 693700  Y 396850
X 696850  Y 396850
X 687401  Y 396850
X 700000  Y 396850
X 684251  Y 396850
X 684251  Y 393700
X 693700  Y 393700
X 696850  Y 393700
X 687401  Y 393700
X 700000  Y 393700
X 690551  Y 393700
X 690551  Y 390551
X 696850  Y 390551
X 684251  Y 390551
X 687401  Y 390551
X 693700  Y 390551
X 687401  Y 275590
X 690551  Y 275590
X 693700  Y 275590
X 696850  Y 275590
X 684251  Y 275590
X 696850  Y 272440
X 687401  Y 272440
X 693700  Y 272440
X 690551  Y 272440
X 684251  Y 272440
X 700000  Y 272440
X 696850  Y 269291
X 693700  Y 269291
X 690551  Y 269291
X 687401  Y 269291
X 684251  Y 269291
X 693700  Y 266141
X 690551  Y 266141
X 687401  Y 266141
X 696850  Y 266141
X 684251  Y 266141
X 699990  Y 266132
